date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-09-12,12:09,생계,소,2290,2290
2025-09-12,14:36,육계(공장도가),9~10호,3769,3769
2025-09-12,14:36,육계(공장도가),11호,3621,3621
2025-09-12,14:36,육계(공장도가),12호,3379,3379
2025-09-12,14:36,생계,대,2090,2090
2025-09-12,14:36,생계,중,2190,2190
2025-09-12,14:36,생계,소,2290,2290
2025-09-13,12:02,육계(공장도가),9~10호,3769,3769
2025-09-13,12:02,육계(공장도가),11호,3621,3621
2025-09-13,12:02,육계(공장도가),12호,3379,3379
2025-09-13,12:02,생계,대,2090,2090
2025-09-13,12:02,생계,중,2190,2190
2025-09-13,12:02,생계,소,2290,2290
2025-09-13,14:34,육계(공장도가),9~10호,3769,3769
2025-09-13,14:34,육계(공장도가),11호,3621,3621
2025-09-13,14:34,육계(공장도가),12호,3379,3379
2025-09-13,14:34,생계,대,2090,2090
2025-09-13,14:34,생계,중,2190,2190
2025-09-13,14:34,생계,소,2290,2290
2025-09-14,12:26,육계(공장도가),9~10호,3769,3769
2025-09-14,12:26,육계(공장도가),11호,3621,3621
2025-09-14,12:26,육계(공장도가),12호,3379,3379
2025-09-14,12:26,생계,대,2090,2090
2025-09-14,12:26,생계,중,2190,2190
2025-09-14,12:26,생계,소,2290,2290
2025-09-14,14:33,육계(공장도가),9~10호,3769,3769
2025-09-14,14:33,육계(공장도가),11호,3621,3621
2025-09-14,14:33,육계(공장도가),12호,3379,3379
2025-09-14,14:33,생계,대,2090,2090
2025-09-14,14:33,생계,중,2190,2190
2025-09-14,14:33,생계,소,2290,2290
2025-09-15,12:34,육계(공장도가),9~10호,3769,3769
2025-09-15,12:34,육계(공장도가),11호,3621,3621
2025-09-15,12:34,육계(공장도가),12호,3379,3379
2025-09-15,12:34,생계,대,2090,2090
2025-09-15,12:34,생계,중,2190,2190
2025-09-15,12:34,생계,소,2290,2290
2025-09-15,14:40,육계(공장도가),9~10호,3769,3769
2025-09-15,14:40,육계(공장도가),11호,3621,3621
2025-09-15,14:40,육계(공장도가),12호,3379,3379
2025-09-15,14:40,생계,대,2090,2090
2025-09-15,14:40,생계,중,2190,2190
2025-09-15,14:40,생계,소,2290,2290
2025-09-16,12:13,육계(공장도가),9~10호,3769,3769
2025-09-16,12:13,육계(공장도가),11호,3621,3621
2025-09-16,12:13,육계(공장도가),12호,3379,3379
2025-09-16,12:13,생계,대,2090,2090
2025-09-16,12:13,생계,중,2190,2190
2025-09-16,12:13,생계,소,2290,2290
2025-09-16,14:37,육계(공장도가),9~10호,3769,3769
2025-09-16,14:37,육계(공장도가),11호,3621,3621
2025-09-16,14:37,육계(공장도가),12호,3379,3379
2025-09-16,14:37,생계,대,2090,2090
2025-09-16,14:37,생계,중,2190,2190
2025-09-16,14:37,생계,소,2290,2290
2025-09-17,12:09,육계(공장도가),9~10호,3769,3769
2025-09-17,12:09,육계(공장도가),11호,3621,3621
2025-09-17,12:09,육계(공장도가),12호,3379,3379
2025-09-17,12:09,생계,대,2090,2090
2025-09-17,12:09,생계,중,2190,2190
2025-09-17,12:09,생계,소,2290,2290
2025-09-17,14:36,육계(공장도가),9~10호,3769,3769
2025-09-17,14:36,육계(공장도가),11호,3621,3621
2025-09-17,14:36,육계(공장도가),12호,3379,3379
2025-09-17,14:36,생계,대,2090,2090
2025-09-17,14:36,생계,중,2190,2190
2025-09-17,14:36,생계,소,2290,2290
2025-09-18,12:12,육계(공장도가),9~10호,3615,3769
2025-09-18,12:12,육계(공장도가),11호,3474,3621
2025-09-18,12:12,육계(공장도가),12호,3234,3379
2025-09-18,12:12,생계,대,1990,2090
2025-09-18,12:12,생계,중,2090,2190
2025-09-18,12:12,생계,소,2190,2290
2025-09-18,14:35,육계(공장도가),9~10호,3615,3769
2025-09-18,14:35,육계(공장도가),11호,3474,3621
2025-09-18,14:35,육계(공장도가),12호,3234,3379
2025-09-18,14:35,생계,대,1990,2090
2025-09-18,14:35,생계,중,2090,2190
2025-09-18,14:35,생계,소,2190,2290
2025-09-19,12:25,육계(공장도가),9~10호,3615,3615
2025-09-19,12:25,육계(공장도가),11호,3474,3474
2025-09-19,12:25,육계(공장도가),12호,3234,3234
2025-09-19,12:25,생계,대,1990,1990
2025-09-19,12:25,생계,중,2090,2090
2025-09-19,12:25,생계,소,2190,2190
2025-09-19,14:34,육계(공장도가),9~10호,3615,3615
2025-09-19,14:34,육계(공장도가),11호,3474,3474
2025-09-19,14:34,육계(공장도가),12호,3234,3234
2025-09-19,14:34,생계,대,1990,1990
2025-09-19,14:34,생계,중,2090,2090
2025-09-19,14:34,생계,소,2190,2190
2025-09-20,12:10,육계(공장도가),9~10호,3615,3615
2025-09-20,12:10,육계(공장도가),11호,3474,3474
2025-09-20,12:10,육계(공장도가),12호,3234,3234
2025-09-20,12:10,생계,대,1990,1990
2025-09-20,12:10,생계,중,2090,2090
2025-09-20,12:10,생계,소,2190,2190
2025-09-20,14:35,육계(공장도가),9~10호,3615,3615
2025-09-20,14:35,육계(공장도가),11호,3474,3474
2025-09-20,14:35,육계(공장도가),12호,3234,3234
2025-09-20,14:35,생계,대,1990,1990
2025-09-20,14:35,생계,중,2090,2090
2025-09-20,14:35,생계,소,2190,2190
2025-09-21,12:31,육계(공장도가),9~10호,3615,3615
2025-09-21,12:31,육계(공장도가),11호,3474,3474
2025-09-21,12:31,육계(공장도가),12호,3234,3234
2025-09-21,12:31,생계,대,1990,1990
2025-09-21,12:31,생계,중,2090,2090
2025-09-21,12:31,생계,소,2190,2190
2025-09-21,14:36,육계(공장도가),9~10호,3615,3615
2025-09-21,14:36,육계(공장도가),11호,3474,3474
2025-09-21,14:36,육계(공장도가),12호,3234,3234
2025-09-21,14:36,생계,대,1990,1990
2025-09-21,14:36,생계,중,2090,2090
2025-09-21,14:36,생계,소,2190,2190
2025-09-22,12:32,육계(공장도가),9~10호,3615,3615
2025-09-22,12:32,육계(공장도가),11호,3474,3474
2025-09-22,12:32,육계(공장도가),12호,3234,3234
2025-09-22,12:32,생계,대,1990,1990
2025-09-22,12:32,생계,중,2090,2090
2025-09-22,12:32,생계,소,2190,2190
2025-09-22,14:40,육계(공장도가),9~10호,3615,3615
2025-09-22,14:40,육계(공장도가),11호,3474,3474
2025-09-22,14:40,육계(공장도가),12호,3234,3234
2025-09-22,14:40,생계,대,1990,1990
2025-09-22,14:40,생계,중,2090,2090
2025-09-22,14:40,생계,소,2190,2190
2025-09-23,12:24,육계(공장도가),9~10호,3615,3615
2025-09-23,12:24,육계(공장도가),11호,3474,3474
2025-09-23,12:24,육계(공장도가),12호,3234,3234
2025-09-23,12:24,생계,대,1990,1990
2025-09-23,12:24,생계,중,2090,2090
2025-09-23,12:24,생계,소,2190,2190
2025-09-23,14:38,육계(공장도가),9~10호,3615,3615
2025-09-23,14:38,육계(공장도가),11호,3474,3474
2025-09-23,14:38,육계(공장도가),12호,3234,3234
2025-09-23,14:38,생계,대,1990,1990
2025-09-23,14:38,생계,중,2090,2090
2025-09-23,14:38,생계,소,2190,2190
2025-09-24,12:24,육계(공장도가),9~10호,3615,3615
2025-09-24,12:24,육계(공장도가),11호,3474,3474
2025-09-24,12:24,육계(공장도가),12호,3234,3234
2025-09-24,12:24,생계,대,1990,1990
2025-09-24,12:24,생계,중,2090,2090
2025-09-24,12:24,생계,소,2190,2190
2025-09-24,14:38,육계(공장도가),9~10호,3615,3615
2025-09-24,14:38,육계(공장도가),11호,3474,3474
2025-09-24,14:38,육계(공장도가),12호,3234,3234
2025-09-24,14:38,생계,대,1990,1990
2025-09-24,14:38,생계,중,2090,2090
2025-09-24,14:38,생계,소,2190,2190
2025-09-25,12:27,육계(공장도가),9~10호,3615,3615
2025-09-25,12:27,육계(공장도가),11호,3474,3474
2025-09-25,12:27,육계(공장도가),12호,3234,3234
2025-09-25,12:27,생계,대,1990,1990
2025-09-25,12:27,생계,중,2090,2090
2025-09-25,12:27,생계,소,2190,2190
2025-09-25,14:38,육계(공장도가),9~10호,3615,3615
2025-09-25,14:38,육계(공장도가),11호,3474,3474
2025-09-25,14:38,육계(공장도가),12호,3234,3234
2025-09-25,14:38,생계,대,1990,1990
2025-09-25,14:38,생계,중,2090,2090
2025-09-25,14:38,생계,소,2190,2190
2025-09-26,12:25,육계(공장도가),9~10호,3615,3615
2025-09-26,12:25,육계(공장도가),11호,3474,3474
2025-09-26,12:25,육계(공장도가),12호,3234,3234
2025-09-26,12:25,생계,대,1990,1990
2025-09-26,12:25,생계,중,2090,2090
2025-09-26,12:25,생계,소,2190,2190
2025-09-26,14:37,육계(공장도가),9~10호,3615,3615
2025-09-26,14:37,육계(공장도가),11호,3474,3474
2025-09-26,14:37,육계(공장도가),12호,3234,3234
2025-09-26,14:37,생계,대,1990,1990
2025-09-26,14:37,생계,중,2090,2090
2025-09-26,14:37,생계,소,2190,2190
2025-09-27,12:09,육계(공장도가),9~10호,3615,3615
2025-09-27,12:09,육계(공장도가),11호,3474,3474
2025-09-27,12:09,육계(공장도가),12호,3234,3234
2025-09-27,12:09,생계,대,1990,1990
2025-09-27,12:09,생계,중,2090,2090
2025-09-27,12:09,생계,소,2190,2190
2025-09-27,14:33,육계(공장도가),9~10호,3615,3615
2025-09-27,14:33,육계(공장도가),11호,3474,3474
2025-09-27,14:33,육계(공장도가),12호,3234,3234
2025-09-27,14:33,생계,대,1990,1990
2025-09-27,14:33,생계,중,2090,2090
2025-09-27,14:33,생계,소,2190,2190
2025-09-28,12:32,육계(공장도가),9~10호,3615,3615
2025-09-28,12:32,육계(공장도가),11호,3474,3474
2025-09-28,12:32,육계(공장도가),12호,3234,3234
2025-09-28,12:32,생계,대,1990,1990
2025-09-28,12:32,생계,중,2090,2090
2025-09-28,12:32,생계,소,2190,2190
2025-09-28,14:36,육계(공장도가),9~10호,3615,3615
2025-09-28,14:36,육계(공장도가),11호,3474,3474
2025-09-28,14:36,육계(공장도가),12호,3234,3234
2025-09-28,14:36,생계,대,1990,1990
2025-09-28,14:36,생계,중,2090,2090
2025-09-28,14:36,생계,소,2190,2190
2025-09-29,12:31,육계(공장도가),9~10호,3615,3615
2025-09-29,12:31,육계(공장도가),11호,3474,3474
2025-09-29,12:31,육계(공장도가),12호,3234,3234
2025-09-29,12:31,생계,대,1990,1990
2025-09-29,12:31,생계,중,2090,2090
2025-09-29,12:31,생계,소,2190,2190
2025-09-29,14:40,육계(공장도가),9~10호,3615,3615
2025-09-29,14:40,육계(공장도가),11호,3474,3474
2025-09-29,14:40,육계(공장도가),12호,3234,3234
2025-09-29,14:40,생계,대,1990,1990
2025-09-29,14:40,생계,중,2090,2090
2025-09-29,14:40,생계,소,2190,2190
2025-09-30,12:23,육계(공장도가),9~10호,3615,3615
2025-09-30,12:23,육계(공장도가),11호,3474,3474
2025-09-30,12:23,육계(공장도가),12호,3234,3234
2025-09-30,12:23,생계,대,1990,1990
2025-09-30,12:23,생계,중,2090,2090
2025-09-30,12:23,생계,소,2190,2190
2025-09-30,14:37,육계(공장도가),9~10호,3615,3615
2025-09-30,14:37,육계(공장도가),11호,3474,3474
2025-09-30,14:37,육계(공장도가),12호,3234,3234
2025-09-30,14:37,생계,대,1990,1990
2025-09-30,14:37,생계,중,2090,2090
2025-09-30,14:37,생계,소,2190,2190
2025-10-01,12:36,육계(공장도가),9~10호,3462,3615
2025-10-01,12:36,육계(공장도가),11호,3326,3474
2025-10-01,12:36,육계(공장도가),12호,3089,3234
2025-10-01,12:36,생계,대,1890,1990
2025-10-01,12:36,생계,중,1990,2090
2025-10-01,12:36,생계,소,2090,2190
2025-10-01,14:39,육계(공장도가),9~10호,3462,3615
2025-10-01,14:39,육계(공장도가),11호,3326,3474
2025-10-01,14:39,육계(공장도가),12호,3089,3234
2025-10-01,14:39,생계,대,1890,1990
2025-10-01,14:39,생계,중,1990,2090
2025-10-01,14:39,생계,소,2090,2190
2025-10-02,12:13,육계(공장도가),9~10호,3462,3462
2025-10-02,12:13,육계(공장도가),11호,3326,3326
2025-10-02,12:13,육계(공장도가),12호,3089,3089
2025-10-02,12:13,생계,대,1890,1890
2025-10-02,12:13,생계,중,1990,1990
2025-10-02,12:13,생계,소,2090,2090
2025-10-02,14:36,육계(공장도가),9~10호,3462,3462
2025-10-02,14:36,육계(공장도가),11호,3326,3326
2025-10-02,14:36,육계(공장도가),12호,3089,3089
2025-10-02,14:36,생계,대,1890,1890
2025-10-02,14:36,생계,중,1990,1990
2025-10-02,14:36,생계,소,2090,2090
2025-10-03,12:10,육계(공장도가),9~10호,3462,3462
2025-10-03,12:10,육계(공장도가),11호,3326,3326
2025-10-03,12:10,육계(공장도가),12호,3089,3089
2025-10-03,12:10,생계,대,1890,1890
2025-10-03,12:10,생계,중,1990,1990
2025-10-03,12:10,생계,소,2090,2090
2025-10-03,14:39,육계(공장도가),9~10호,3462,3462
2025-10-03,14:39,육계(공장도가),11호,3326,3326
2025-10-03,14:39,육계(공장도가),12호,3089,3089
2025-10-03,14:39,생계,대,1890,1890
2025-10-03,14:39,생계,중,1990,1990
2025-10-03,14:39,생계,소,2090,2090
2025-10-04,12:10,육계(공장도가),9~10호,3462,3462
2025-10-04,12:10,육계(공장도가),11호,3326,3326
2025-10-04,12:10,육계(공장도가),12호,3089,3089
2025-10-04,12:10,생계,대,1890,1890
2025-10-04,12:10,생계,중,1990,1990
2025-10-04,12:10,생계,소,2090,2090
2025-10-04,14:26,육계(공장도가),9~10호,3462,3462
2025-10-04,14:26,육계(공장도가),11호,3326,3326
2025-10-04,14:26,육계(공장도가),12호,3089,3089
2025-10-04,14:26,생계,대,1890,1890
2025-10-04,14:26,생계,중,1990,1990
2025-10-04,14:26,생계,소,2090,2090
2025-10-05,11:45,육계(공장도가),9~10호,3462,3462
2025-10-05,11:45,육계(공장도가),11호,3326,3326
2025-10-05,11:45,육계(공장도가),12호,3089,3089
2025-10-05,11:45,생계,대,1890,1890
2025-10-05,11:45,생계,중,1990,1990
2025-10-05,11:45,생계,소,2090,2090
2025-10-05,14:26,육계(공장도가),9~10호,3462,3462
2025-10-05,14:26,육계(공장도가),11호,3326,3326
2025-10-05,14:26,육계(공장도가),12호,3089,3089
2025-10-05,14:26,생계,대,1890,1890
2025-10-05,14:26,생계,중,1990,1990
2025-10-05,14:26,생계,소,2090,2090
2025-10-06,11:39,육계(공장도가),9~10호,3462,3462
2025-10-06,11:39,육계(공장도가),11호,3326,3326
2025-10-06,11:39,육계(공장도가),12호,3089,3089
2025-10-06,11:39,생계,대,1890,1890
2025-10-06,11:39,생계,중,1990,1990
2025-10-06,11:39,생계,소,2090,2090
2025-10-06,14:27,육계(공장도가),9~10호,3462,3462
2025-10-06,14:27,육계(공장도가),11호,3326,3326
2025-10-06,14:27,육계(공장도가),12호,3089,3089
2025-10-06,14:27,생계,대,1890,1890
2025-10-06,14:27,생계,중,1990,1990
2025-10-06,14:27,생계,소,2090,2090
2025-10-07,11:26,육계(공장도가),9~10호,3462,3462
2025-10-07,11:26,육계(공장도가),11호,3326,3326
2025-10-07,11:26,육계(공장도가),12호,3089,3089
2025-10-07,11:26,생계,대,1890,1890
2025-10-07,11:26,생계,중,1990,1990
2025-10-07,11:26,생계,소,2090,2090
2025-10-07,14:28,육계(공장도가),9~10호,3462,3462
2025-10-07,14:28,육계(공장도가),11호,3326,3326
2025-10-07,14:28,육계(공장도가),12호,3089,3089
2025-10-07,14:28,생계,대,1890,1890
2025-10-07,14:28,생계,중,1990,1990
2025-10-07,14:28,생계,소,2090,2090
2025-10-08,11:24,육계(공장도가),9~10호,3462,3462
2025-10-08,11:24,육계(공장도가),11호,3326,3326
2025-10-08,11:24,육계(공장도가),12호,3089,3089
2025-10-08,11:24,생계,대,1890,1890
2025-10-08,11:24,생계,중,1990,1990
2025-10-08,11:24,생계,소,2090,2090
2025-10-08,14:29,육계(공장도가),9~10호,3462,3462
2025-10-08,14:29,육계(공장도가),11호,3326,3326
2025-10-08,14:29,육계(공장도가),12호,3089,3089
2025-10-08,14:29,생계,대,1890,1890
2025-10-08,14:29,생계,중,1990,1990
2025-10-08,14:29,생계,소,2090,2090
2025-10-09,11:27,육계(공장도가),9~10호,3462,3462
2025-10-09,11:27,육계(공장도가),11호,3326,3326
2025-10-09,11:27,육계(공장도가),12호,3089,3089
2025-10-09,11:27,생계,대,1890,1890
2025-10-09,11:27,생계,중,1990,1990
2025-10-09,11:27,생계,소,2090,2090
2025-10-09,14:28,육계(공장도가),9~10호,3462,3462
2025-10-09,14:28,육계(공장도가),11호,3326,3326
2025-10-09,14:28,육계(공장도가),12호,3089,3089
2025-10-09,14:28,생계,대,1890,1890
2025-10-09,14:28,생계,중,1990,1990
2025-10-09,14:28,생계,소,2090,2090
2025-10-10,11:28,육계(공장도가),9~10호,3462,3462
2025-10-10,11:28,육계(공장도가),11호,3326,3326
2025-10-10,11:28,육계(공장도가),12호,3089,3089
2025-10-10,11:28,생계,대,1890,1890
2025-10-10,11:28,생계,중,1990,1990
2025-10-10,11:28,생계,소,2090,2090
2025-10-10,14:29,육계(공장도가),9~10호,3462,3462
2025-10-10,14:29,육계(공장도가),11호,3326,3326
2025-10-10,14:29,육계(공장도가),12호,3089,3089
2025-10-10,14:29,생계,대,1890,1890
2025-10-10,14:29,생계,중,1990,1990
2025-10-10,14:29,생계,소,2090,2090
2025-10-11,11:22,육계(공장도가),9~10호,3462,3462
2025-10-11,11:22,육계(공장도가),11호,3326,3326
2025-10-11,11:22,육계(공장도가),12호,3089,3089
2025-10-11,11:22,생계,대,1890,1890
2025-10-11,11:22,생계,중,1990,1990
2025-10-11,11:22,생계,소,2090,2090
2025-10-11,14:27,육계(공장도가),9~10호,3462,3462
2025-10-11,14:27,육계(공장도가),11호,3326,3326
2025-10-11,14:27,육계(공장도가),12호,3089,3089
2025-10-11,14:27,생계,대,1890,1890
2025-10-11,14:27,생계,중,1990,1990
2025-10-11,14:27,생계,소,2090,2090
2025-10-12,11:39,육계(공장도가),9~10호,3462,3462
2025-10-12,11:39,육계(공장도가),11호,3326,3326
2025-10-12,11:39,육계(공장도가),12호,3089,3089
2025-10-12,11:39,생계,대,1890,1890
2025-10-12,11:39,생계,중,1990,1990
2025-10-12,11:39,생계,소,2090,2090
2025-10-12,14:25,육계(공장도가),9~10호,3462,3462
2025-10-12,14:25,육계(공장도가),11호,3326,3326
2025-10-12,14:25,육계(공장도가),12호,3089,3089
2025-10-12,14:25,생계,대,1890,1890
2025-10-12,14:25,생계,중,1990,1990
2025-10-12,14:25,생계,소,2090,2090
2025-10-13,11:45,육계(공장도가),9~10호,3462,3462
2025-10-13,11:45,육계(공장도가),11호,3326,3326
2025-10-13,11:45,육계(공장도가),12호,3089,3089
2025-10-13,11:45,생계,대,1890,1890
2025-10-13,11:45,생계,중,1990,1990
2025-10-13,11:45,생계,소,2090,2090
2025-10-13,14:30,육계(공장도가),9~10호,3462,3462
2025-10-13,14:30,육계(공장도가),11호,3326,3326
2025-10-13,14:30,육계(공장도가),12호,3089,3089
2025-10-13,14:30,생계,대,1890,1890
2025-10-13,14:30,생계,중,1990,1990
2025-10-13,14:30,생계,소,2090,2090
2025-10-14,11:28,육계(공장도가),9~10호,3462,3462
2025-10-14,11:28,육계(공장도가),11호,3326,3326
2025-10-14,11:28,육계(공장도가),12호,3089,3089
2025-10-14,11:28,생계,대,1890,1890
2025-10-14,11:28,생계,중,1990,1990
2025-10-14,11:28,생계,소,2090,2090
2025-10-14,14:27,육계(공장도가),9~10호,3462,3462
2025-10-14,14:27,육계(공장도가),11호,3326,3326
2025-10-14,14:27,육계(공장도가),12호,3089,3089
2025-10-14,14:27,생계,대,1890,1890
2025-10-14,14:27,생계,중,1990,1990
2025-10-14,14:27,생계,소,2090,2090
2025-10-15,11:41,육계(공장도가),9~10호,3462,3462
2025-10-15,11:41,육계(공장도가),11호,3326,3326
2025-10-15,11:41,육계(공장도가),12호,3089,3089
2025-10-15,11:41,생계,대,1890,1890
2025-10-15,11:41,생계,중,1990,1990
2025-10-15,11:41,생계,소,2090,2090
2025-10-15,14:27,육계(공장도가),9~10호,3462,3462
2025-10-15,14:27,육계(공장도가),11호,3326,3326
2025-10-15,14:27,육계(공장도가),12호,3089,3089
2025-10-15,14:27,생계,대,1890,1890
2025-10-15,14:27,생계,중,1990,1990
2025-10-15,14:27,생계,소,2090,2090
2025-10-16,11:39,육계(공장도가),9~10호,3462,3462
2025-10-16,11:39,육계(공장도가),11호,3326,3326
2025-10-16,11:39,육계(공장도가),12호,3089,3089
2025-10-16,11:39,생계,대,1890,1890
2025-10-16,11:39,생계,중,1990,1990
2025-10-16,11:39,생계,소,2090,2090
2025-10-16,14:27,육계(공장도가),9~10호,3462,3462
2025-10-16,14:27,육계(공장도가),11호,3326,3326
2025-10-16,14:27,육계(공장도가),12호,3089,3089
2025-10-16,14:27,생계,대,1890,1890
2025-10-16,14:27,생계,중,1990,1990
2025-10-16,14:27,생계,소,2090,2090
2025-10-17,11:38,육계(공장도가),9~10호,3462,3462
2025-10-17,11:38,육계(공장도가),11호,3326,3326
2025-10-17,11:38,육계(공장도가),12호,3089,3089
2025-10-17,11:38,생계,대,1890,1890
2025-10-17,11:38,생계,중,1990,1990
2025-10-17,11:38,생계,소,2090,2090
2025-10-17,14:27,육계(공장도가),9~10호,3462,3462
2025-10-17,14:27,육계(공장도가),11호,3326,3326
2025-10-17,14:27,육계(공장도가),12호,3089,3089
2025-10-17,14:27,생계,대,1890,1890
2025-10-17,14:27,생계,중,1990,1990
2025-10-17,14:27,생계,소,2090,2090
2025-10-18,11:23,육계(공장도가),9~10호,3462,3462
2025-10-18,11:23,육계(공장도가),11호,3326,3326
2025-10-18,11:23,육계(공장도가),12호,3089,3089
2025-10-18,11:23,생계,대,1890,1890
2025-10-18,11:23,생계,중,1990,1990
2025-10-18,11:23,생계,소,2090,2090
2025-10-18,14:26,육계(공장도가),9~10호,3462,3462
2025-10-18,14:26,육계(공장도가),11호,3326,3326
2025-10-18,14:26,육계(공장도가),12호,3089,3089
2025-10-18,14:26,생계,대,1890,1890
2025-10-18,14:26,생계,중,1990,1990
2025-10-18,14:26,생계,소,2090,2090
2025-10-19,11:51,육계(공장도가),9~10호,3462,3462
2025-10-19,11:51,육계(공장도가),11호,3326,3326
2025-10-19,11:51,육계(공장도가),12호,3089,3089
2025-10-19,11:51,생계,대,1890,1890
2025-10-19,11:51,생계,중,1990,1990
2025-10-19,11:51,생계,소,2090,2090
2025-10-19,14:28,육계(공장도가),9~10호,3462,3462
2025-10-19,14:28,육계(공장도가),11호,3326,3326
2025-10-19,14:28,육계(공장도가),12호,3089,3089
2025-10-19,14:28,생계,대,1890,1890
